epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,1.6783,3.3015,1.6162,0.47443,0.43551,0.41148,0.20238,1.4524,50.028,1.2315,3.39E-05,3.32E-05,3.32E-05
1,1.5375,2.3418,1.4282,0.59814,0.52146,0.55384,0.28727,1.3694,35.404,1.1593,6.69E-05,6.66E-05,6.66E-05
2,1.4837,1.9437,1.3823,0.62083,0.5578,0.59174,0.31316,1.342,25.589,1.144,9.99E-05,9.99E-05,9.99E-05
3,1.4658,1.7256,1.3672,0.6427,0.55793,0.60187,0.31908,1.3467,8.7558,1.151,9.99E-05,9.99E-05,9.99E-05
4,1.4514,1.5314,1.3503,0.67623,0.58744,0.63968,0.34706,1.3313,6.5185,1.152,9.99E-05,9.99E-05,9.99E-05
5,1.4329,1.4307,1.3409,0.68392,0.62095,0.67499,0.3733,1.2791,5.8468,1.1045,9.99E-05,9.99E-05,9.99E-05
6,1.3973,1.3548,1.3215,0.67995,0.60711,0.66804,0.36793,1.2859,3.4126,1.1169,9.98E-05,9.98E-05,9.98E-05
7,1.3947,1.3084,1.3202,0.70387,0.63702,0.69625,0.38439,1.2858,5.6371,1.1103,9.98E-05,9.98E-05,9.98E-05
8,1.373,1.248,1.3008,0.7118,0.63303,0.69378,0.38589,1.2825,3.1845,1.1132,9.97E-05,9.97E-05,9.97E-05
9,1.3745,1.2088,1.2997,0.68758,0.63665,0.69079,0.388,1.2865,2.5315,1.1063,9.96E-05,9.96E-05,9.96E-05
10,1.3579,1.1811,1.2873,0.71181,0.65562,0.71028,0.4013,1.2688,3.2421,1.0936,9.95E-05,9.95E-05,9.95E-05
11,1.3526,1.1496,1.283,0.71139,0.65961,0.71345,0.40119,1.2698,2.903,1.1022,9.94E-05,9.94E-05,9.94E-05
12,1.3382,1.1267,1.2759,0.7289,0.65445,0.71713,0.40773,1.2475,2.569,1.0946,9.93E-05,9.93E-05,9.93E-05
13,1.3326,1.1029,1.2758,0.72934,0.66173,0.72376,0.41207,1.2734,2.0911,1.0973,9.91E-05,9.91E-05,9.91E-05
14,1.3277,1.0921,1.2715,0.73044,0.66023,0.72487,0.4145,1.2517,2.5074,1.0981,9.90E-05,9.90E-05,9.90E-05
15,1.3066,1.072,1.2596,0.73238,0.6657,0.72949,0.41728,1.2533,2.6269,1.0966,9.88E-05,9.88E-05,9.88E-05
16,1.3153,1.0559,1.2585,0.73171,0.66884,0.73051,0.41967,1.2435,2.1609,1.0964,9.86E-05,9.86E-05,9.86E-05
17,1.3009,1.0397,1.2516,0.74287,0.67737,0.73909,0.426,1.2364,2.1184,1.0832,9.84E-05,9.84E-05,9.84E-05
18,1.2958,1.0334,1.251,0.75659,0.67406,0.74452,0.42948,1.2383,2.5295,1.0916,9.82E-05,9.82E-05,9.82E-05
19,1.2842,1.0202,1.2442,0.75197,0.67045,0.74306,0.42989,1.2253,1.6993,1.0865,9.80E-05,9.80E-05,9.80E-05
20,1.2829,1.0043,1.2401,0.74053,0.68887,0.7463,0.43397,1.214,2.0919,1.0728,9.78E-05,9.78E-05,9.78E-05
21,1.2716,0.99337,1.236,0.75373,0.68426,0.74905,0.43727,1.2238,1.537,1.0839,9.76E-05,9.76E-05,9.76E-05
22,1.2616,0.97506,1.2259,0.75705,0.68545,0.75368,0.43833,1.2258,1.7429,1.0744,9.73E-05,9.73E-05,9.73E-05
23,1.2654,0.98216,1.2294,0.75278,0.68713,0.75164,0.44171,1.1994,1.6787,1.0681,9.70E-05,9.70E-05,9.70E-05
24,1.2612,0.9615,1.2261,0.75162,0.69692,0.75636,0.44514,1.2106,1.9354,1.076,9.68E-05,9.68E-05,9.68E-05
25,1.2508,0.95969,1.2219,0.75162,0.69993,0.75767,0.44653,1.2083,2.0501,1.071,9.65E-05,9.65E-05,9.65E-05
26,1.2454,0.94503,1.2205,0.76584,0.70275,0.76451,0.45165,1.1976,1.6991,1.069,9.62E-05,9.62E-05,9.62E-05
27,1.2381,0.93036,1.2124,0.75486,0.71526,0.76469,0.45054,1.2023,1.6719,1.0677,9.59E-05,9.59E-05,9.59E-05
28,1.2406,0.92838,1.2162,0.76332,0.70395,0.76636,0.45111,1.2008,1.695,1.0684,9.56E-05,9.56E-05,9.56E-05
29,1.2395,0.92242,1.2123,0.76748,0.70109,0.76575,0.45368,1.1945,1.6742,1.0662,9.52E-05,9.52E-05,9.52E-05
30,1.2297,0.91196,1.2082,0.77009,0.70657,0.77003,0.45413,1.2022,1.6317,1.0691,9.49E-05,9.49E-05,9.49E-05
31,1.2322,0.908,1.205,0.77462,0.7067,0.77048,0.45406,1.1974,1.5662,1.0672,9.46E-05,9.46E-05,9.46E-05
32,1.2246,0.90606,1.2044,0.7653,0.71362,0.76911,0.45595,1.1935,1.5643,1.0659,9.42E-05,9.42E-05,9.42E-05
33,1.2113,0.90831,1.1958,0.77373,0.70931,0.7732,0.45837,1.1895,1.4344,1.063,9.38E-05,9.38E-05,9.38E-05
34,1.2112,0.88312,1.1961,0.77428,0.71351,0.77494,0.45962,1.1914,1.4075,1.0653,9.34E-05,9.34E-05,9.34E-05
35,1.2131,0.8889,1.1942,0.77348,0.71452,0.7744,0.45956,1.1941,1.3964,1.0655,9.30E-05,9.30E-05,9.30E-05
36,1.212,0.88447,1.1955,0.771,0.71354,0.77381,0.45906,1.194,1.4163,1.0666,9.26E-05,9.26E-05,9.26E-05
37,1.204,0.87817,1.192,0.78054,0.70838,0.77767,0.46028,1.1937,1.4541,1.0664,9.22E-05,9.22E-05,9.22E-05
38,1.1891,0.86351,1.1815,0.78832,0.70749,0.77909,0.46207,1.1913,1.4612,1.066,9.18E-05,9.18E-05,9.18E-05
39,1.189,0.85333,1.1793,0.77647,0.72075,0.77978,0.46404,1.1912,1.4373,1.0664,9.14E-05,9.14E-05,9.14E-05
40,1.1941,0.85703,1.1835,0.77591,0.72149,0.77818,0.46337,1.191,1.4671,1.0675,9.09E-05,9.09E-05,9.09E-05
41,1.194,0.86189,1.1833,0.7771,0.72055,0.77768,0.4638,1.1913,1.467,1.0682,9.05E-05,9.05E-05,9.05E-05
42,1.1837,0.83835,1.1775,0.77459,0.72188,0.77835,0.46458,1.1913,1.4832,1.0667,9.00E-05,9.00E-05,9.00E-05
43,1.1816,0.84218,1.1752,0.77237,0.72341,0.77797,0.4651,1.1925,1.4973,1.0667,8.95E-05,8.95E-05,8.95E-05
44,1.1724,0.82953,1.1754,0.77605,0.71932,0.77698,0.46514,1.1909,1.506,1.0662,8.90E-05,8.90E-05,8.90E-05
45,1.1703,0.82472,1.1686,0.77208,0.72233,0.77774,0.46612,1.1904,1.507,1.0663,8.85E-05,8.85E-05,8.85E-05
46,1.1712,0.82043,1.1679,0.77295,0.72057,0.77703,0.46692,1.1901,1.5211,1.0667,8.80E-05,8.80E-05,8.80E-05
47,1.1557,0.81791,1.1577,0.77778,0.71624,0.7777,0.46667,1.1894,1.5227,1.0659,8.75E-05,8.75E-05,8.75E-05
